pizza_id,pizza_name,Qty,unit_price,total_price,pizza_size,ingredients
ital_supr_s,The Italian Supreme Pizza,196,12.5,2450,S,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
mexicana_s,The Mexicana Pizza,162,12,1944,S,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
spicy_ital_l,The Spicy Italian Pizza,1109,20.75,23011.75,L,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
spin_pesto_l,The Spinach Pesto Pizza,284,20.75,5893,L,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
veggie_veg_s,The Vegetables + Vegetables Pizza,464,12,5568,S,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
mexicana_l,The Mexicana Pizza,867,20.25,17556.75,L,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
southw_ckn_l,The Southwest Chicken Pizza,1016,20.75,21082,L,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
bbq_ckn_l,The Barbecue Chicken Pizza,992,20.75,20584,L,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
cali_ckn_l,The California Chicken Pizza,927,20.75,19235.25,L,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
cali_ckn_m,The California Chicken Pizza,944,16.75,15812,M,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
pepperoni_l,The Pepperoni Pizza,728,15.25,11102,L,"Mozzarella Cheese, Pepperoni"
cali_ckn_s,The California Chicken Pizza,499,12.75,6362.25,S,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
ckn_pesto_l,The Chicken Pesto Pizza,399,20.75,8279.25,L,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
big_meat_s,The Big Meat Pizza,1914,12,22968,S,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
soppressata_l,The Soppressata Pizza,405,20.75,8403.75,L,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
four_cheese_l,The Four Cheese Pizza,1316,17.95,23622.200000000554,L,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
napolitana_s,The Napolitana Pizza,471,12,5652,S,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
calabrese_m,The Calabrese Pizza,562,16.25,9132.5,M,"Ã¦â€¦â€ºduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
four_cheese_m,The Four Cheese Pizza,586,14.75,8643.5,M,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
ital_veggie_s,The Italian Vegetables Pizza,305,12.75,3888.75,S,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
mediterraneo_m,The Mediterranean Pizza,275,16,4400,M,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
peppr_salami_s,The Pepper Salami Pizza,322,12.5,4025,S,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
spinach_fet_l,The Spinach and Feta Pizza,445,20.25,9011.25,L,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
napolitana_l,The Napolitana Pizza,566,20.5,11603,L,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
sicilian_l,The Sicilian Pizza,613,20.25,12413.25,L,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
ital_cpcllo_m,The Italian Capocollo Pizza,404,16,6464,M,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
southw_ckn_s,The Southwest Chicken Pizza,367,12.75,4679.25,S,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
bbq_ckn_m,The Barbecue Chicken Pizza,956,16.75,16013,M,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
pepperoni_m,The Pepperoni Pizza,939,12.5,11737.5,M,"Mozzarella Cheese, Pepperoni"
prsc_argla_s,The Prosciutto and Arugula Pizza,424,12.5,5300,S,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
sicilian_m,The Sicilian Pizza,574,16.25,9327.5,M,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
veggie_veg_l,The Vegetables + Vegetables Pizza,427,20.25,8646.75,L,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
ckn_alfredo_s,The Chicken Alfredo Pizza,96,12.75,1224,S,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
pepperoni_s,The Pepperoni Pizza,751,9.75,7322.25,S,"Mozzarella Cheese, Pepperoni"
green_garden_l,The Green Garden Pizza,95,20.25,1923.75,L,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
green_garden_m,The Green Garden Pizza,302,16,4832,M,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
pep_msh_pep_l,"The Pepperoni, Mushroom, and Peppers Pizza",384,17.5,6720,L,"Pepperoni, Mushrooms, Green Peppers"
hawaiian_s,The Hawaiian Pizza,1020,10.5,10710,S,"Sliced Ham, Pineapple, Mozzarella Cheese"
peppr_salami_m,The Pepper Salami Pizza,428,16.5,7062,M,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
ckn_alfredo_m,The Chicken Alfredo Pizza,703,16.75,11775.25,M,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
peppr_salami_l,The Pepper Salami Pizza,696,20.75,14442,L,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
spin_pesto_s,The Spinach Pesto Pizza,404,12.5,5050,S,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
thai_ckn_m,The Thai Chicken Pizza,481,16.75,8056.75,M,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
classic_dlx_l,The Classic Deluxe Pizza,473,20.5,9696.5,L,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
ckn_pesto_m,The Chicken Pesto Pizza,276,16.75,4623,M,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
the_greek_xl,The Greek Pizza,552,25.5,14076,XL,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
hawaiian_l,The Hawaiian Pizza,919,16.5,15163.5,L,"Sliced Ham, Pineapple, Mozzarella Cheese"
pep_msh_pep_s,"The Pepperoni, Mushroom, and Peppers Pizza",578,11,6358,S,"Pepperoni, Mushrooms, Green Peppers"
spinach_supr_m,The Spinach Supreme Pizza,267,16.5,4405.5,M,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
prsc_argla_m,The Prosciutto and Arugula Pizza,598,16.5,9867,M,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
mediterraneo_l,The Mediterranean Pizza,370,20.25,7492.5,L,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
southw_ckn_m,The Southwest Chicken Pizza,534,16.75,8944.5,M,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
pep_msh_pep_m,"The Pepperoni, Mushroom, and Peppers Pizza",397,14.5,5756.5,M,"Pepperoni, Mushrooms, Green Peppers"
sicilian_s,The Sicilian Pizza,751,12.25,9199.75,S,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
spicy_ital_s,The Spicy Italian Pizza,407,12.5,5087.5,S,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
thai_ckn_s,The Thai Chicken Pizza,480,12.75,6120,S,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
spinach_supr_l,The Spinach Supreme Pizza,283,20.75,5872.25,L,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
ital_veggie_l,The Italian Vegetables Pizza,190,21,3990,L,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
veggie_veg_m,The Vegetables + Vegetables Pizza,635,16,10160,M,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
the_greek_m,The Greek Pizza,281,16,4496,M,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
ckn_pesto_s,The Chicken Pesto Pizza,298,12.75,3799.5,S,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
spinach_fet_s,The Spinach and Feta Pizza,439,12,5268,S,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
spicy_ital_m,The Spicy Italian Pizza,408,16.5,6732,M,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
ital_veggie_m,The Italian Vegetables Pizza,486,16.75,8140.5,M,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
ital_cpcllo_s,The Italian Capocollo Pizza,302,12,3624,S,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
mediterraneo_s,The Mediterranean Pizza,289,12,3468,S,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
spinach_fet_m,The Spinach and Feta Pizza,562,16,8992,M,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
napolitana_m,The Napolitana Pizza,427,16,6832,M,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
spin_pesto_m,The Spinach Pesto Pizza,282,16.5,4653,M,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
brie_carre_s,The Brie Carre Pizza,490,23.65,11588.4999999999,S,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic"
ckn_alfredo_l,The Chicken Alfredo Pizza,188,20.75,3901,L,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
calabrese_s,The Calabrese Pizza,99,12.25,1212.75,S,"Ã¦â€¦â€ºduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
the_greek_l,The Greek Pizza,255,20.5,5227.5,L,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
soppressata_m,The Soppressata Pizza,268,16.5,4422,M,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
soppressata_s,The Soppressata Pizza,288,12.5,3600,S,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
calabrese_l,The Calabrese Pizza,276,20.25,5589,L,"Ã¦â€¦â€ºduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
the_greek_xxl,The Greek Pizza,28,35.95,1006.6000000000005,XXL,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
